!type,!path,!tag,!paramDef,!respDef,!Description,File,crud,post,bulk,getById,putById,deleteById,fullpath,idpath,path,tag,paramDef,respDef,Description
crud,ccwdata,CCWData,ccwdatas,,,Path,1,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,ccwdata,CCWData,ccwdatas,rg:None,rg:None
crud,inspections,Inspection,inspectionss,,,Path,1,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,inspections,Inspection,inspectionss,rg:None,rg:None
crud,schoolbuses,SchoolBus,schoolbusess,,,Path,1,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,schoolbuses,SchoolBus,schoolbusess,rg:None,rg:None
crud,schoolbusnotes,SchoolBusNote,schoolbusnotess,,,Path,1,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,schoolbusnotes,SchoolBusNote,schoolbusnotess,rg:None,rg:None
crud,schoolbusattachments,SchoolBusAttachment,schoolbusattachmentss,,,Path,1,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,schoolbusattachments,SchoolBusAttachment,schoolbusattachmentss,rg:None,rg:None
crud,schoolbushistories,SchoolBusHistory,schoolbushistoriess,,,Path,1,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,schoolbushistories,SchoolBusHistory,schoolbushistoriess,rg:None,rg:None
crud,notifications,Notification,notificationss,,,Path,1,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,notifications,Notification,notificationss,rg:None,rg:None
crud,notificationevents,NotificationEvent,notificationeventss,,,Path,1,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,notificationevents,NotificationEvent,notificationeventss,rg:None,rg:None
crud,schoolbusowners,SchoolBusOwner,schoolbusownerss,,,Path,1,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,schoolbusowners,SchoolBusOwner,schoolbusownerss,rg:None,rg:None
crud,schoolbusownernotes,SchoolBusOwnerNote,schoolbusownernotess,,,Path,1,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,schoolbusownernotes,SchoolBusOwnerNote,schoolbusownernotess,rg:None,rg:None
crud,schoolbusownerattachments,SchoolBusOwnerAttachment,schoolbusownerattachmentss,,,Path,1,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,schoolbusownerattachments,SchoolBusOwnerAttachment,schoolbusownerattachmentss,rg:None,rg:None
crud,schoolbusownercontacts,SchoolBusOwnerContact,schoolbusownercontactss,,,Path,1,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,schoolbusownercontacts,SchoolBusOwnerContact,schoolbusownercontactss,rg:None,rg:None
crud,schoolbusownerhistory,SchoolBusOwnerHistory,schoolbusownerhistorys,,,Path,1,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,schoolbusownerhistory,SchoolBusOwnerHistory,schoolbusownerhistorys,rg:None,rg:None
crud,schoolBusOwnerContactPhone,SchoolBusOwnerContactPhone,schoolbusownercontactphones,,,Path,1,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,schoolBusOwnerContactPhone,SchoolBusOwnerContactPhone,schoolbusownercontactphones,rg:None,rg:None
crud,schoolBusOwnerContactAddress,SchoolBusOwnerContactAddress,schoolbusownercontactaddresss,,,Path,1,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,schoolBusOwnerContactAddress,SchoolBusOwnerContactAddress,schoolbusownercontactaddresss,rg:None,rg:None
crud,favouritecontexttypes,FavouriteContextType,favouritecontexttypess,,,Path,1,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,favouritecontexttypes,FavouriteContextType,favouritecontexttypess,rg:None,rg:None
crud,groups,Group,groupss,,,Path,1,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,groups,Group,groupss,rg:None,rg:None
crud,permissions,Permission,permissionss,,,Path,1,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,permissions,Permission,permissionss,rg:None,rg:None
crud,roles,Role,roless,,,Path,1,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,roles,Role,roless,rg:None,rg:None
bulk,rolepermissions,RolePermission,rolepermissionss,,,Path,rg:None,rg:None,1,rg:None,rg:None,rg:None,rg:None,rg:None,rolepermissions,RolePermission,rolepermissionss,rg:None,rg:None
crud,users,User,userss,,,Path,1,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,users,User,userss,rg:None,rg:None
bulk,usergroups,,usergroupss,,,Path,rg:None,rg:None,1,rg:None,rg:None,rg:None,rg:None,rg:None,usergroups,rg:None,usergroupss,rg:None,rg:None
bulk,userroles,UserRole,userroless,,,Path,rg:None,rg:None,1,rg:None,rg:None,rg:None,rg:None,rg:None,userroles,UserRole,userroless,rg:None,rg:None
crud,regions,Region,regionss,,,Path,1,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,regions,Region,regionss,rg:None,rg:None
crud,districts,District,districtss,,,Path,1,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,districts,District,districtss,rg:None,rg:None
crud,serviceareas,ServiceArea,serviceareass,,,Path,1,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,serviceareas,ServiceArea,serviceareass,rg:None,rg:None
crud,cities,City,citiess,,,Path,1,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,cities,City,citiess,rg:None,rg:None
crud,schooldistricts,SchoolDistrict,schooldistrictss,,,Path,1,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,schooldistricts,SchoolDistrict,schooldistrictss,rg:None,rg:None
crud,groupMembership,GroupMembership,groupmemberships,,,Path,1,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,groupMembership,GroupMembership,groupmemberships,rg:None,rg:None
crud,userFavourite,UserFavourite,userfavourites,,,Path,1,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,rg:None,userFavourite,UserFavourite,userfavourites,rg:None,rg:None
